notice_no,notice_id,route_id,route_name,notice_group,notice_name,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_targets,failure_condition,follow_up,public_notice_text
20,notice_020_solver_룬_악용_차단,solver,해결사,잔향의 룬 대응,룬 악용 차단,중급~상급,룬 악용 차단 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.,"룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다.","현장은 '룬 악용 차단' 성격의 사건으로 분류되며, 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다.","룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다.",룬을 가호나 소유물로 여기는 인물이 격리 절차에 반발한다.,"룬 탁본, 발현 조건, 주변 잔향 농도, 관련 장비 기록",룬 발현 조건을 놓쳐 동일 사건이 반복된다.,룬 배열이 공간 변질을 일으키면 준던전화 구역 봉쇄로 확장한다.,"[룬 악용 차단] 룬 악용 차단 공고는 잔향이 문양과 규칙으로 굳어진 현상을 기록·격리·검증하는 공고다. 주요 목표는 룬의 위치, 발현 조건, 재현성, 악용 가능성을 기록하고 통제한다. 확인해야 할 미지는 룬이 단순 흔적인지, 사건을 반복시키는 재현 장치인지 확인해야 한다. 실패 시 룬 발현 조건을 놓쳐 동일 사건이 반복된다."
21,notice_021_solver_흑마석_광맥_조사,solver,해결사,정제·자원,흑마석 광맥 조사,중급,"흑마석 광맥 조사 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.",위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다.,"현장은 '흑마석 광맥 조사' 성격의 사건으로 분류되며, 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.","정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다.","상단, 제작자, 정제 관계자가 기록 공개와 회수를 거부한다.","시료, 정제 기록, 흑마석 반응, 봉인·운송 로그",위험 자원이 유통되거나 운송 중 성질이 변한다.,정제 실패품 유통이 확인되면 금기 지식 차단 또는 위험 운송으로 이어진다.,"[흑마석 광맥 조사] 흑마석 광맥 조사 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다. 주요 목표는 위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다. 확인해야 할 미지는 정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다. 실패 시 위험 자원이 유통되거나 운송 중 성질이 변한다."
22,notice_022_solver_정제_안정성_검증,solver,해결사,정제·자원,정제 안정성 검증,중급,"정제 안정성 검증 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.",위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다.,"현장은 '정제 안정성 검증' 성격의 사건으로 분류되며, 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.","정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다.","상단, 제작자, 정제 관계자가 기록 공개와 회수를 거부한다.","시료, 정제 기록, 흑마석 반응, 봉인·운송 로그",위험 자원이 유통되거나 운송 중 성질이 변한다.,정제 실패품 유통이 확인되면 금기 지식 차단 또는 위험 운송으로 이어진다.,"[정제 안정성 검증] 정제 안정성 검증 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다. 주요 목표는 위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다. 확인해야 할 미지는 정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다. 실패 시 위험 자원이 유통되거나 운송 중 성질이 변한다."
23,notice_023_solver_정제사_현장_동행,solver,해결사,정제·자원,정제사 현장 동행,중급,"정제사 현장 동행 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.",위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다.,"현장은 '정제사 현장 동행' 성격의 사건으로 분류되며, 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.","정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다.","상단, 제작자, 정제 관계자가 기록 공개와 회수를 거부한다.","시료, 정제 기록, 흑마석 반응, 봉인·운송 로그",위험 자원이 유통되거나 운송 중 성질이 변한다.,정제 실패품 유통이 확인되면 금기 지식 차단 또는 위험 운송으로 이어진다.,"[정제사 현장 동행] 정제사 현장 동행 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다. 주요 목표는 위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다. 확인해야 할 미지는 정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다. 실패 시 위험 자원이 유통되거나 운송 중 성질이 변한다."
24,notice_024_solver_위험_운송,solver,해결사,정제·자원,위험 운송,중급,"위험 운송 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.",위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다.,"현장은 '위험 운송' 성격의 사건으로 분류되며, 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.","정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다.","상단, 제작자, 정제 관계자가 기록 공개와 회수를 거부한다.","시료, 정제 기록, 흑마석 반응, 봉인·운송 로그",위험 자원이 유통되거나 운송 중 성질이 변한다.,정제 실패품 유통이 확인되면 금기 지식 차단 또는 위험 운송으로 이어진다.,"[위험 운송] 위험 운송 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다. 주요 목표는 위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다. 확인해야 할 미지는 정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다. 실패 시 위험 자원이 유통되거나 운송 중 성질이 변한다."
25,notice_025_solver_정제_실패품_회수,solver,해결사,정제·자원,정제 실패품 회수,중급,"정제 실패품 회수 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.",위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다.,"현장은 '정제 실패품 회수' 성격의 사건으로 분류되며, 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다.","정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다.","상단, 제작자, 정제 관계자가 기록 공개와 회수를 거부한다.","시료, 정제 기록, 흑마석 반응, 봉인·운송 로그",위험 자원이 유통되거나 운송 중 성질이 변한다.,정제 실패품 유통이 확인되면 금기 지식 차단 또는 위험 운송으로 이어진다.,"[정제 실패품 회수] 정제 실패품 회수 공고는 흑마석, 부정한 핵, 정제 실패품과 관련된 위험 자원을 관리하는 공고다. 주요 목표는 위험 자원의 상태와 오염 가능성을 확인하고 회수·봉인·운송 절차를 수행한다. 확인해야 할 미지는 정제와 자원화가 안전한지, 잔향이 남은 위험물인지 확인해야 한다. 실패 시 위험 자원이 유통되거나 운송 중 성질이 변한다."
26,notice_026_solver_기록_회수,solver,해결사,기록·검증,기록 회수,하급~중급,"기록 회수 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.",기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다.,"현장은 '기록 회수' 성격의 사건으로 분류되며, 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.","기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다.",기존 보고서와 현장 증거가 서로 맞지 않아 책임 공방이 발생한다.,"원본 보고서, 조작 의심 기록, 좌표 자료, 재검증 결과",잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다.,기록 오염이 확인되면 재앙 대응 또는 기밀 재검토 대상으로 전환한다.,"[기록 회수] 기록 회수 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다. 주요 목표는 기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다. 확인해야 할 미지는 기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다. 실패 시 잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다."
27,notice_027_solver_지도_안전로_갱신,solver,해결사,기록·검증,지도·안전로 갱신,하급~중급,"지도·안전로 갱신 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.",기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다.,"현장은 '지도·안전로 갱신' 성격의 사건으로 분류되며, 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.","기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다.",기존 보고서와 현장 증거가 서로 맞지 않아 책임 공방이 발생한다.,"원본 보고서, 조작 의심 기록, 좌표 자료, 재검증 결과",잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다.,기록 오염이 확인되면 재앙 대응 또는 기밀 재검토 대상으로 전환한다.,"[지도·안전로 갱신] 지도·안전로 갱신 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다. 주요 목표는 기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다. 확인해야 할 미지는 기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다. 실패 시 잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다."
28,notice_028_solver_보고서_재검증,solver,해결사,기록·검증,보고서 재검증,하급~중급,"보고서 재검증 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.",기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다.,"현장은 '보고서 재검증' 성격의 사건으로 분류되며, 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.","기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다.",기존 보고서와 현장 증거가 서로 맞지 않아 책임 공방이 발생한다.,"원본 보고서, 조작 의심 기록, 좌표 자료, 재검증 결과",잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다.,기록 오염이 확인되면 재앙 대응 또는 기밀 재검토 대상으로 전환한다.,"[보고서 재검증] 보고서 재검증 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다. 주요 목표는 기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다. 확인해야 할 미지는 기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다. 실패 시 잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다."
29,notice_029_solver_탐사_시험,solver,해결사,기록·검증,탐사 시험,하급~중급,"탐사 시험 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.",기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다.,"현장은 '탐사 시험' 성격의 사건으로 분류되며, 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.","기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다.",기존 보고서와 현장 증거가 서로 맞지 않아 책임 공방이 발생한다.,"원본 보고서, 조작 의심 기록, 좌표 자료, 재검증 결과",잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다.,기록 오염이 확인되면 재앙 대응 또는 기밀 재검토 대상으로 전환한다.,"[탐사 시험] 탐사 시험 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다. 주요 목표는 기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다. 확인해야 할 미지는 기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다. 실패 시 잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다."
30,notice_030_solver_오염_기록_검열,solver,해결사,기록·검증,오염 기록 검열,하급~중급,"오염 기록 검열 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.",기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다.,"현장은 '오염 기록 검열' 성격의 사건으로 분류되며, 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다.","기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다.",기존 보고서와 현장 증거가 서로 맞지 않아 책임 공방이 발생한다.,"원본 보고서, 조작 의심 기록, 좌표 자료, 재검증 결과",잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다.,기록 오염이 확인되면 재앙 대응 또는 기밀 재검토 대상으로 전환한다.,"[오염 기록 검열] 오염 기록 검열 공고는 탐사 기록, 지도, 보고서, 안전 판정을 회수하거나 재검증하는 공고다. 주요 목표는 기존 기록과 현장 상태를 대조하여 다음 탐사의 근거를 갱신한다. 확인해야 할 미지는 기록 오류가 단순 실수인지, 의도적 변조 또는 오염인지 확인해야 한다. 실패 시 잘못된 기록이 유지되어 다음 탐사자가 위험에 노출된다."
31,notice_031_solver_관측_시설_방어,solver,해결사,시설·방어·봉인,관측 시설 방어,중급,관측 시설 방어 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.,"관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다.","현장은 '관측 시설 방어' 성격의 사건으로 분류되며, 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.","현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다.","절차가 끝나기 전에 변이 생물, 오염 반응, 외부 방해가 몰려든다.","관측 수치, 봉인 상태, 정화 절차 기록, 시설 피해 보고",관측이나 봉인 절차가 중단되어 위험이 재발한다.,봉인 실패나 공간 왜곡이 확인되면 던전 대응으로 확장한다.,"[관측 시설 방어] 관측 시설 방어 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다. 주요 목표는 관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다. 확인해야 할 미지는 현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다. 실패 시 관측이나 봉인 절차가 중단되어 위험이 재발한다."
32,notice_032_solver_봉인_정화_보조,solver,해결사,시설·방어·봉인,봉인·정화 보조,중급,봉인·정화 보조 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.,"관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다.","현장은 '봉인·정화 보조' 성격의 사건으로 분류되며, 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.","현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다.","절차가 끝나기 전에 변이 생물, 오염 반응, 외부 방해가 몰려든다.","관측 수치, 봉인 상태, 정화 절차 기록, 시설 피해 보고",관측이나 봉인 절차가 중단되어 위험이 재발한다.,봉인 실패나 공간 왜곡이 확인되면 던전 대응으로 확장한다.,"[봉인·정화 보조] 봉인·정화 보조 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다. 주요 목표는 관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다. 확인해야 할 미지는 현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다. 실패 시 관측이나 봉인 절차가 중단되어 위험이 재발한다."
33,notice_033_solver_포탈_공간_왜곡_조사,solver,해결사,시설·방어·봉인,포탈·공간 왜곡 조사,중급,포탈·공간 왜곡 조사 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.,"관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다.","현장은 '포탈·공간 왜곡 조사' 성격의 사건으로 분류되며, 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.","현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다.","절차가 끝나기 전에 변이 생물, 오염 반응, 외부 방해가 몰려든다.","관측 수치, 봉인 상태, 정화 절차 기록, 시설 피해 보고",관측이나 봉인 절차가 중단되어 위험이 재발한다.,봉인 실패나 공간 왜곡이 확인되면 던전 대응으로 확장한다.,"[포탈·공간 왜곡 조사] 포탈·공간 왜곡 조사 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다. 주요 목표는 관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다. 확인해야 할 미지는 현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다. 실패 시 관측이나 봉인 절차가 중단되어 위험이 재발한다."
34,notice_034_solver_금기_정제_금지_지식_차단,solver,해결사,시설·방어·봉인,금기 정제·금지 지식 차단,중급,금기 정제·금지 지식 차단 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.,"관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다.","현장은 '금기 정제·금지 지식 차단' 성격의 사건으로 분류되며, 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.","현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다.","절차가 끝나기 전에 변이 생물, 오염 반응, 외부 방해가 몰려든다.","관측 수치, 봉인 상태, 정화 절차 기록, 시설 피해 보고",관측이나 봉인 절차가 중단되어 위험이 재발한다.,봉인 실패나 공간 왜곡이 확인되면 던전 대응으로 확장한다.,"[금기 정제·금지 지식 차단] 금기 정제·금지 지식 차단 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다. 주요 목표는 관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다. 확인해야 할 미지는 현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다. 실패 시 관측이나 봉인 절차가 중단되어 위험이 재발한다."
35,notice_035_solver_준던전화_구역_봉쇄,solver,해결사,시설·방어·봉인,준던전화 구역 봉쇄,중급,준던전화 구역 봉쇄 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.,"관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다.","현장은 '준던전화 구역 봉쇄' 성격의 사건으로 분류되며, 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다.","현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다.","절차가 끝나기 전에 변이 생물, 오염 반응, 외부 방해가 몰려든다.","관측 수치, 봉인 상태, 정화 절차 기록, 시설 피해 보고",관측이나 봉인 절차가 중단되어 위험이 재발한다.,봉인 실패나 공간 왜곡이 확인되면 던전 대응으로 확장한다.,"[준던전화 구역 봉쇄] 준던전화 구역 봉쇄 공고는 관측·봉인·정화·공간 안정화 절차가 끊기지 않도록 현장을 유지하는 공고다. 주요 목표는 관측, 봉인, 정화, 공간 안정화가 완료될 때까지 현장 절차를 유지한다. 확인해야 할 미지는 현장 불안정이 일시적 교란인지, 더 깊은 오염의 표면인지 확인해야 한다. 실패 시 관측이나 봉인 절차가 중단되어 위험이 재발한다."
36,notice_036_solver_중립_회수,solver,해결사,분쟁·중립,중립 회수,중급,중립 회수 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.,어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다.,"현장은 '중립 회수' 성격의 사건으로 분류되며, 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.","분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다.",양측 세력 모두 연맹의 중립성을 의심한다.,"위험물 목록, 소유권 주장 기록, 중립 보관 인계서, 현장 관측 자료",연맹의 중립성이 무너져 세력 충돌이 악화된다.,"위험물의 실체가 확인되면 정제·자원, 던전 대응, 기록·검증 중 하나로 재분류한다.","[중립 회수] 중립 회수 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다. 주요 목표는 어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다. 확인해야 할 미지는 분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다. 실패 시 연맹의 중립성이 무너져 세력 충돌이 악화된다."
37,notice_037_solver_분쟁지_미지_관측,solver,해결사,분쟁·중립,분쟁지 미지 관측,중급,분쟁지 미지 관측 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.,어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다.,"현장은 '분쟁지 미지 관측' 성격의 사건으로 분류되며, 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.","분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다.",양측 세력 모두 연맹의 중립성을 의심한다.,"위험물 목록, 소유권 주장 기록, 중립 보관 인계서, 현장 관측 자료",연맹의 중립성이 무너져 세력 충돌이 악화된다.,"위험물의 실체가 확인되면 정제·자원, 던전 대응, 기록·검증 중 하나로 재분류한다.","[분쟁지 미지 관측] 분쟁지 미지 관측 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다. 주요 목표는 어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다. 확인해야 할 미지는 분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다. 실패 시 연맹의 중립성이 무너져 세력 충돌이 악화된다."
38,notice_038_solver_미지_사안_재분류,solver,해결사,분쟁·중립,미지 사안 재분류,중급,미지 사안 재분류 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.,어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다.,"현장은 '미지 사안 재분류' 성격의 사건으로 분류되며, 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.","분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다.",양측 세력 모두 연맹의 중립성을 의심한다.,"위험물 목록, 소유권 주장 기록, 중립 보관 인계서, 현장 관측 자료",연맹의 중립성이 무너져 세력 충돌이 악화된다.,"위험물의 실체가 확인되면 정제·자원, 던전 대응, 기록·검증 중 하나로 재분류한다.","[미지 사안 재분류] 미지 사안 재분류 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다. 주요 목표는 어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다. 확인해야 할 미지는 분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다. 실패 시 연맹의 중립성이 무너져 세력 충돌이 악화된다."
