notice_no,notice_id,route_id,route_name,notice_group,notice_name,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_targets,failure_condition,follow_up,public_notice_text
39,notice_039_solver_공동_조사_입회,solver,해결사,분쟁·중립,공동 조사 입회,중급,공동 조사 입회 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.,어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다.,"현장은 '공동 조사 입회' 성격의 사건으로 분류되며, 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.","분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다.",양측 세력 모두 연맹의 중립성을 의심한다.,"위험물 목록, 소유권 주장 기록, 중립 보관 인계서, 현장 관측 자료",연맹의 중립성이 무너져 세력 충돌이 악화된다.,"위험물의 실체가 확인되면 정제·자원, 던전 대응, 기록·검증 중 하나로 재분류한다.","[공동 조사 입회] 공동 조사 입회 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다. 주요 목표는 어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다. 확인해야 할 미지는 분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다. 실패 시 연맹의 중립성이 무너져 세력 충돌이 악화된다."
40,notice_040_solver_위험물_보관_조정,solver,해결사,분쟁·중립,위험물 보관 조정,중급,위험물 보관 조정 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.,어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다.,"현장은 '위험물 보관 조정' 성격의 사건으로 분류되며, 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다.","분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다.",양측 세력 모두 연맹의 중립성을 의심한다.,"위험물 목록, 소유권 주장 기록, 중립 보관 인계서, 현장 관측 자료",연맹의 중립성이 무너져 세력 충돌이 악화된다.,"위험물의 실체가 확인되면 정제·자원, 던전 대응, 기록·검증 중 하나로 재분류한다.","[위험물 보관 조정] 위험물 보관 조정 공고는 세력 분쟁 속에서 위험물과 미지 현상을 중립적으로 다루는 공고다. 주요 목표는 어느 세력의 편도 들지 않고 위험물과 미지 현상에 대한 중립 기록을 확보한다. 확인해야 할 미지는 분쟁 대상이 단순 소유물인지, 문명권 전체에 영향을 주는 위험물인지 확인해야 한다. 실패 시 연맹의 중립성이 무너져 세력 충돌이 악화된다."
41,notice_041_pioneer_앙그라_경계_관측,pioneer,개척자,앙그라권 탐사,앙그라 경계 관측,상급 이상,앙그라 경계 관측 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.,"문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다.","현장은 '앙그라 경계 관측' 성격의 사건으로 분류되며, 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.","안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다.",귀환로와 방향 감각이 불안정해 탐사 지속 여부를 계속 판단해야 한다.,"안개 농도, 경계 좌표, 귀환로 기록, 거점 후보 평가",귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다.,못 또는 가디언 반응이 확인되면 고위 개척자 공고로 확장한다.,"[앙그라 경계 관측] 앙그라 경계 관측 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다. 주요 목표는 문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다. 확인해야 할 미지는 안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다. 실패 시 귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다."
42,notice_042_pioneer_앙그라의_못_탐색,pioneer,개척자,앙그라권 탐사,앙그라의 못 탐색,상급 이상,앙그라의 못 탐색 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.,"문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다.","현장은 '앙그라의 못 탐색' 성격의 사건으로 분류되며, 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.","안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다.",귀환로와 방향 감각이 불안정해 탐사 지속 여부를 계속 판단해야 한다.,"안개 농도, 경계 좌표, 귀환로 기록, 거점 후보 평가",귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다.,못 또는 가디언 반응이 확인되면 고위 개척자 공고로 확장한다.,"[앙그라의 못 탐색] 앙그라의 못 탐색 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다. 주요 목표는 문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다. 확인해야 할 미지는 안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다. 실패 시 귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다."
43,notice_043_pioneer_토템_가디언_제압,pioneer,개척자,앙그라권 탐사,토템 가디언 제압,상급 이상,토템 가디언 제압 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.,"문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다.","현장은 '토템 가디언 제압' 성격의 사건으로 분류되며, 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.","안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다.",귀환로와 방향 감각이 불안정해 탐사 지속 여부를 계속 판단해야 한다.,"안개 농도, 경계 좌표, 귀환로 기록, 거점 후보 평가",귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다.,못 또는 가디언 반응이 확인되면 고위 개척자 공고로 확장한다.,"[토템 가디언 제압] 토템 가디언 제압 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다. 주요 목표는 문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다. 확인해야 할 미지는 안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다. 실패 시 귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다."
44,notice_044_pioneer_안개권_지도_작성,pioneer,개척자,앙그라권 탐사,안개권 지도 작성,상급 이상,안개권 지도 작성 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.,"문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다.","현장은 '안개권 지도 작성' 성격의 사건으로 분류되며, 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.","안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다.",귀환로와 방향 감각이 불안정해 탐사 지속 여부를 계속 판단해야 한다.,"안개 농도, 경계 좌표, 귀환로 기록, 거점 후보 평가",귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다.,못 또는 가디언 반응이 확인되면 고위 개척자 공고로 확장한다.,"[안개권 지도 작성] 안개권 지도 작성 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다. 주요 목표는 문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다. 확인해야 할 미지는 안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다. 실패 시 귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다."
45,notice_045_pioneer_안개권_생태_변이_조사,pioneer,개척자,앙그라권 탐사,안개권 생태·변이 조사,상급 이상,안개권 생태·변이 조사 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.,"문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다.","현장은 '안개권 생태·변이 조사' 성격의 사건으로 분류되며, 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다.","안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다.",귀환로와 방향 감각이 불안정해 탐사 지속 여부를 계속 판단해야 한다.,"안개 농도, 경계 좌표, 귀환로 기록, 거점 후보 평가",귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다.,못 또는 가디언 반응이 확인되면 고위 개척자 공고로 확장한다.,"[안개권 생태·변이 조사] 안개권 생태·변이 조사 공고는 문명권 바깥의 안개권과 앙그라 전선에서 길과 정보를 확보하는 개척자 공고다. 주요 목표는 문명권 바깥의 좌표, 귀환로, 위험 지점, 거점 가능성을 확보한다. 확인해야 할 미지는 안개권 변화가 자연 이동인지, 앙그라의 못 또는 수호 반응과 연결되었는지 확인해야 한다. 실패 시 귀환로를 잃거나 확보한 좌표가 사용할 수 없게 된다."
46,notice_046_classified_재앙_표식_조사,classified,기밀,재앙 대응,재앙 표식 조사,중급~상급,"폐허와 민가, 지하 구조물에서 발견된 원인 불명의 재앙 표식을 조사한다.",공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙 표식 조사' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙 표식 조사] 폐허와 민가, 지하 구조물에서 발견된 원인 불명의 재앙 표식을 조사한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
47,notice_047_classified_재앙_매개자_식별,classified,기밀,재앙 대응,재앙 매개자 식별,중급~상급,재앙성 사건을 확산시키는 인물이나 위장된 매개자를 식별한다.,공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙 매개자 식별' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙 매개자 식별] 재앙성 사건을 확산시키는 인물이나 위장된 매개자를 식별한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
48,notice_048_classified_재앙성_공포_확산_차단,classified,기밀,재앙 대응,재앙성 공포 확산 차단,중급~상급,"소문과 불신, 공포가 공동체를 붕괴시키기 전에 확산 경로를 차단한다.",공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙성 공포 확산 차단' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙성 공포 확산 차단] 소문과 불신, 공포가 공동체를 붕괴시키기 전에 확산 경로를 차단한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
49,notice_049_classified_재앙_의식_저지,classified,기밀,재앙 대응,재앙 의식 저지,중급~상급,"흑마석, 정제 실패품, 잔향 흔적이 동원된 재앙성 의식을 저지한다.",공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙 의식 저지' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙 의식 저지] 흑마석, 정제 실패품, 잔향 흔적이 동원된 재앙성 의식을 저지한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
50,notice_050_classified_재앙_연결망_추적,classified,기밀,재앙 대응,재앙 연결망 추적,중급~상급,여러 지역의 재앙성 사건이 같은 물자와 기록 흐름을 따르는지 추적한다.,공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다.,"현장은 '재앙 연결망 추적' 성격의 사건으로 분류되며, 원인 미상의 표식, 공포 확산, 재앙성 의식과 연결망을 제한 공개 방식으로 다루는 공고다.","재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다.",공개 명분과 실제 위험 사이의 간극 때문에 성급한 색출이나 소문 확산이 발생할 수 있다.,"반복 증언, 재앙 표식, 오염 기록, 연결 단서",재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다.,반복 패턴이 확인되면 내부 기밀 조사로 전환한다.,"[재앙 연결망 추적] 여러 지역의 재앙성 사건이 같은 물자와 기록 흐름을 따르는지 추적한다. 주요 목표는 공개적으로 설명되지 않는 재앙성 현상의 피해 양상과 연결 단서를 확보한다. 확인해야 할 미지는 재앙성 현상이 우발적 피해인지, 반복되는 배후 구조를 지녔는지 확인해야 한다. 실패 시 재앙성 현상의 연결망을 놓쳐 다른 지역에서 반복 피해가 발생한다."
51,notice_051_solver_개척지_안전_진단,solver,해결사,문명권 안전 관리,개척지 안전 진단,하급~중급,"개척지 안전 진단 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '개척지 안전 진단' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[개척지 안전 진단] 개척지 안전 진단 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
52,notice_052_solver_이주로_검증,solver,해결사,문명권 안전 관리,이주로 검증,하급~중급,"이주로 검증 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '이주로 검증' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[이주로 검증] 이주로 검증 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
53,notice_053_solver_교역로_재개통,solver,해결사,문명권 안전 관리,교역로 재개통,하급~중급,"교역로 재개통 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '교역로 재개통' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[교역로 재개통] 교역로 재개통 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
54,notice_054_solver_초소_재가동,solver,해결사,문명권 안전 관리,초소 재가동,하급~중급,"초소 재가동 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '초소 재가동' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[초소 재가동] 초소 재가동 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
55,notice_055_solver_피난처_검증,solver,해결사,문명권 안전 관리,피난처 검증,하급~중급,"피난처 검증 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다.","현장은 '피난처 검증' 성격의 사건으로 분류되며, 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다.","관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다.",이미 안전하다고 믿는 주민과 관리자가 재점검을 불쾌하게 여긴다.,"수원·피난처·초소·교역로 점검표, 잔향 반응, 주민 증언",안전 판정 오류로 정착지나 교역로 피해가 확대된다.,잔향 또는 공간 왜곡이 확인되면 잔향·침식 조사나 시설·방어·봉인으로 확장한다.,"[피난처 검증] 피난처 검증 공고는 이미 개척이 끝난 정착지, 교역로, 초소, 피난처의 안정성을 점검하는 해결사 공고다. 주요 목표는 문명권 관리 구역의 시설, 경로, 수원, 피난처가 유지 가능한지 판정한다. 확인해야 할 미지는 관리 구역이 실제로 안전한지, 아직 보이지 않는 잔류 위험을 품고 있는지 확인해야 한다. 실패 시 안전 판정 오류로 정착지나 교역로 피해가 확대된다."
56,notice_056_hunter_위험_개체_토벌,hunter,사냥꾼,몬스터 사냥,위험 개체 토벌,중급,위험 개체 토벌 공고는 위험 개체와 변이 생태를 추적·포획·제압하고 부산물을 회수하는 사냥꾼 공고다.,"위험 개체를 추적하고 필요 시 제압하며, 변이 여부와 피해 범위를 확인한다.","현장은 '위험 개체 토벌' 성격의 사건으로 분류되며, 위험 개체와 변이 생태를 추적·포획·제압하고 부산물을 회수하는 사냥꾼 공고다.","표적이 단순 야생 개체인지, 던전·잔향·흑마석에 영향을 받은 개체인지 확인해야 한다.","민간인은 즉시 토벌을 요구하지만, 과잉 제압은 원인 규명을 방해할 수 있다.","이동 경로, 발자국, 혈액·체액 시료, 부산물, 피해 범위",표적이 도주하거나 과잉 토벌로 생태와 증거가 훼손된다.,변이 원인이 확인되면 잔향 변이 사냥 또는 던전 대응으로 재분류한다.,"[위험 개체 토벌] 위험 개체 토벌 공고는 위험 개체와 변이 생태를 추적·포획·제압하고 부산물을 회수하는 사냥꾼 공고다. 주요 목표는 위험 개체를 추적하고 필요 시 제압하며, 변이 여부와 피해 범위를 확인한다. 확인해야 할 미지는 표적이 단순 야생 개체인지, 던전·잔향·흑마석에 영향을 받은 개체인지 확인해야 한다. 실패 시 표적이 도주하거나 과잉 토벌로 생태와 증거가 훼손된다."
