주사위,테마,몬스터 예시,환경 설명
1,불의 테마,"불타는 해골|화염 정령|잿불 망령|용암 사냥개","전장 곳곳에서 불꽃과 잔열이 살아 움직이듯 번진다. 열기는 시야를 일그러뜨리고, 검은 연기와 붉은 불씨가 호흡을 방해한다. 적들은 화염에 적응했거나 불길을 무기로 삼으며, 안전하다고 생각한 발밑조차 갑자기 타오를 수 있다."
2,독의 테마,"독액 슬라임|맹독 거미|독안개 포식자|부패 약초괴물","공기와 수분, 식물과 토양에 독성이 스며든 조우다. 녹색이나 보라색 기운이 낮게 깔리고, 숨을 들이쉴 때마다 목이 타들어가는 듯한 감각이 따라온다. 적들은 독을 분비하거나 독안개를 이용해 접근을 막고, 장기전으로 끌고 갈수록 위험해진다."
3,짐승의 테마,"잔향 늑대|거대 멧돼지|돌연변이 곰|광포한 사슴괴물","문명적인 전술보다 야생의 본능이 지배하는 조우다. 적들은 무리를 이루어 포위하거나, 냄새와 소리를 따라 집요하게 추적한다. 전장에는 발굽 소리, 으르렁거림, 나뭇가지가 부러지는 소리가 이어지며, 언제 어디서 돌진이 들어올지 알기 어렵다."
4,도적·산적의 테마,"산적 척후병|도적 궁수|용병 추적자|탐사물 약탈자","인간형 적이 탐사물과 보급품, 정보, 길목을 노리는 조우다. 적들은 괴물처럼 정면으로 달려들기보다 매복, 협박, 포위, 인질, 함정을 사용한다. 전투에는 탐사자의 원칙과 인간적인 이해관계가 섞이며, 적을 쓰러뜨리는 것보다 상황을 통제하는 것이 중요할 수 있다."
5,광기의 테마,"광기 신도|자아 붕괴자|검은 광기 전도자|웃는 변이체","정신을 갉아먹는 환청과 충동이 전장을 흔드는 조우다. 적들은 논리적인 명령보다 왜곡된 계시와 집착에 따라 움직이며, 고통과 공포를 신앙처럼 받아들인다. 전투 중에도 웃음소리, 속삭임, 익숙한 목소리의 환청이 이어져 아군의 판단력을 흐린다."
6,부패·살점의 테마,"부패 살점괴물|장기 덩어리|점액성 시체괴물|살점 벌레군","생물의 몸과 지형이 구분되지 않을 정도로 부패한 조우다. 축축한 살점, 썩은 냄새, 꿈틀거리는 조직이 감각을 압박한다. 적들은 찢어져도 다시 뭉치거나, 죽은 조직을 흡수해 회복하며, 전장은 혐오감과 생리적 공포를 중심으로 전개된다."
7,한기의 테마,"서리 망령|얼음 거미|한기 정령|동결된 시체병","냉기와 침묵이 몸을 잠식하는 조우다. 숨결은 하얗게 얼고, 금속은 손에 달라붙으며, 움직임은 점점 둔해진다. 적들은 냉기 저항이나 동결 능력을 지니며, 전투가 길어질수록 체온과 의지가 함께 깎여 나가는 압박이 생긴다."
8,번개의 테마,"전격 도마뱀|번개 정령|폭풍 매|전류 골렘","전류와 섬광이 불규칙하게 터지는 조우다. 번개는 예고 없이 지면을 타고 흐르거나 금속 장비에 반응한다. 적들은 빠르게 위치를 바꾸고, 순간적인 폭발력으로 전장을 끊어 놓으며, 플레이어는 안전한 위치를 계속 새로 판단해야 한다."
9,그림자·암흑의 테마,"그림자 추적자|암흑 망령|검은 가면 암살자|그림자 늑대","빛이 힘을 잃고 그림자가 두꺼워지는 조우다. 적들은 어둠 속에 몸을 숨기거나, 그림자 사이를 이동하며, 시야 밖에서 공격한다. 전장은 보이는 것보다 보이지 않는 것에 의해 지배되고, 작은 소리와 희미한 움직임이 중요한 단서가 된다."
10,환영·환각의 테마,"환영 거미|몽환 포식자|거짓 얼굴|잔향 환술사","현실과 착각이 뒤섞이는 조우다. 길이 있었던 곳이 벽처럼 보이고, 적이 있던 자리에 아군의 모습이 나타날 수 있다. 적들은 직접적인 피해보다 오판을 유도하며, 전투는 무엇을 믿을 수 있는지 확인하는 과정이 된다."
11,식물·덩굴의 테마,"식인 덩굴|가시나무 괴물|덩굴 포식자|기생 꽃망울","식물이 수동적인 배경이 아니라 능동적인 적으로 작동하는 조우다. 덩굴은 발목을 감고, 가시는 통로를 막으며, 꽃가루는 시야와 호흡을 방해한다. 적들은 지형과 구분되지 않게 숨어 있다가, 접근한 대상을 포획하거나 삼키려 든다."
12,혈액·피의 테마,"혈액 마수|피의 망령|혈액술사|붉은 살점괴물","피와 생명력이 전투의 중심이 되는 조우다. 바닥에는 마르지 않는 피가 흐르고, 적들은 상처와 출혈을 매개로 힘을 얻는다. 전투는 끈적하고 붉은 감각으로 가득하며, 생명력이 무기이자 제물이 되는 분위기를 만든다."
13,망령·유령의 테마,"떠도는 망령|고대 유령|죽은 탐사자 잔영|속삭이는 혼령","죽은 자의 흔적이 현재에 남아 있는 조우다. 적들은 물리적으로 명확하지 않거나, 과거의 기억과 감정을 반복한다. 전장에는 차가운 기운과 오래된 후회가 깔리며, 싸움은 때로 안식과 기억의 문제로 이어진다."
14,저주의 테마,"저주 인형|불길한 망령|저주받은 기사|검은 부적 괴물","불운과 약화, 불길한 징조가 전장을 지배하는 조우다. 적의 공격은 단순한 피해보다 몸과 마음에 낙인을 남기며, 사소한 행동도 나쁜 결과로 이어질 수 있다. 전투가 끝난 뒤에도 후유증이 남을 수 있는 테마다."
15,변이·돌연변이의 테마,"잔향 변이체|팔 많은 괴물|비늘 인간|뒤틀린 마수","잔향 침식으로 생물의 형태와 기능이 무너진 조우다. 적들은 기존 생물의 규칙에서 벗어난 신체 구조와 능력을 보이며, 약점과 행동 패턴을 쉽게 예측할 수 없다. 이 테마는 ‘저주인가, 진보인가’라는 불편한 질문을 남긴다."
16,고대·유물의 테마,"고대 수호자|유물 골렘|봉인 파수꾼|토템 수호체","오래된 문명의 장치와 수호자가 깨어나는 조우다. 적들은 감정이나 본능이 아니라 오래전 설정된 규칙에 따라 움직인다. 전투는 힘싸움만이 아니라, 고대의 명령 구조와 장치 작동 방식을 파악하는 과정이 된다."
17,융합·혼종의 테마,"융합 마수|반식물 반짐승|흑마석 키메라|던전 혼종체","서로 다른 오염과 생명 양식이 뒤섞인 조우다. 생물과 지형, 던전과 잔향, 마수와 흑마석의 경계가 무너진다. 적들은 여러 테마의 능력을 동시에 보일 수 있으며, 전장은 자연스러운 공간이라기보다 실패한 조합물처럼 느껴진다."
18,폭풍·바람의 테마,"폭풍 와이번|칼바람 정령|비명 매|안개 활공자","강풍과 압력, 날카로운 바람이 전투를 흔드는 조우다. 투사체는 빗나가기 쉽고, 움직임은 바람에 밀려 불안정해진다. 적들은 공중이나 고속 이동을 활용하며, 위치를 지키는 것 자체가 어려운 전투가 된다."
19,결정체·흑마석의 테마,"흑마석 골렘|결정 갑각수|마나석 기생체|핵 수호자","검은 결정과 마나 공명이 중심이 되는 조우다. 흑마석은 아름답지만 불길하게 맥동하고, 주변의 마나 흐름을 왜곡한다. 적들은 단단한 외피나 공명 능력을 지니며, 결정 지형 자체가 증폭기나 폭발물처럼 작동할 수 있다."
20,위그드라실 빛의 테마,"빛 저항 변종|성역 침식자|오염된 수호수|빛먹는 마수","세계수의 빛과 오염이 맞부딪히는 조우다. 전장에는 희미한 빛이 남아 있지만, 그 빛조차 완전히 안전하지 않다. 적들은 빛에 저항하거나 빛을 왜곡하며, 희망과 절망이 동시에 존재하는 대비가 강하게 드러난다."
21,대지·암석의 테마,"암석 거인|돌갑옷 멧돼지|균열 벌레|토석 골렘","단단한 지반과 균열, 무너지는 암석이 중심인 조우다. 적들은 둔중하지만 밀어붙이는 힘이 강하고, 지형 붕괴를 유도할 수 있다. 전투는 빠른 움직임보다 버티기, 밀리지 않기, 무너질 곳을 피하는 판단이 중요하다."
22,물·심연의 테마,"심연 포식어|익사 망령|수중 슬라임|검은 물 정령","깊은 물과 보이지 않는 수면 아래가 불안을 만드는 조우다. 적들은 물속에서 접근하거나, 대상을 끌어내려 시야와 호흡을 빼앗는다. 전투의 핵심은 적이 보이지 않는 동안에도 위협이 계속 다가오고 있다는 감각이다."
23,산성·부식의 테마,"산성 점액괴물|부식 벌레|녹슨 갑각수|산액 투척자","산성 물질과 부식이 장비와 지형을 갉아먹는 조우다. 방어구와 무기, 바닥과 벽까지 서서히 손상되며, 시간이 지날수록 안전한 공간이 줄어든다. 적들은 직접적인 힘보다 접근 금지 구역을 만들어 전투를 통제한다."
24,모래·사막의 테마,"모래 잠복충|사막 망령|유적 도굴꾼|모래 골렘","건조함과 시야 차단, 발밑의 불안정함이 중심인 조우다. 적들은 모래 속에 숨거나, 바람을 이용해 흔적을 지운다. 전투는 넓고 비어 있는 공간에서 벌어지지만, 실제로는 어디에도 확실한 안전지대가 없다."
25,진흙·수렁의 테마,"수렁 괴물|진흙 슬라임|늪지 사냥꾼|오염 수초","발이 빠지고 몸이 무거워지는 조우다. 이동이 느려지고, 넘어지거나 끌려 들어가는 위험이 커진다. 적들은 이런 지연을 이용해 포위하거나 포획하며, 빠르게 끝내지 못하면 전투가 점점 불리해진다."
26,동굴·지하의 테마,"동굴 박쥐떼|지하 벌레|눈먼 괴물|광부 망령","좁은 통로와 울림, 어둠이 압박하는 조우다. 소리는 멀리 퍼지지만 방향을 알기 어렵고, 벽 너머의 움직임이 불안감을 만든다. 적들은 어둠과 좁은 공간에 적응해 있으며, 도망칠 길이 제한된다는 점이 긴장을 높인다."
27,고지·절벽의 테마,"절벽 하피|바위 독수리|낙하 유도자|절벽 트롤","높이와 추락 위험이 전투의 핵심이 되는 조우다. 적들은 밀치기, 비행, 원거리 공격을 활용해 위치의 우위를 만든다. 한 번의 실수로 전투불능에 가까운 피해를 입을 수 있어, 발판과 거리 계산이 중요하다."
28,도시·골목의 테마,"가면 암살자|밀수꾼 검객|지붕 추적자|골목 변이체","복잡한 구조물과 시야 차단, 민간인의 존재가 전투를 어렵게 만드는 조우다. 적은 골목과 지붕, 창문을 활용하고, 전투는 추격전이나 매복전으로 흐르기 쉽다. 단순 화력보다 주변 피해를 줄이는 판단이 중요하다."
29,하수도·수로의 테마,"오염 쥐떼|수로 슬라임|하수도 악어|은신 교단원","축축하고 좁으며 오염된 공간을 활용하는 조우다. 악취와 오물, 낮은 천장과 미끄러운 바닥이 전투를 방해한다. 적들은 수로 아래나 어두운 배수구에서 기습하며, 도주 경로도 복잡하다."
30,묘지·납골당의 테마,"해골 병사|납골 망령|무덤 파수꾼|시체까마귀","죽음과 매장이 중심이 되는 조우다. 무덤, 뼈, 이름 없는 시체가 전장의 분위기를 만든다. 적들은 죽은 자의 잔재에서 일어나며, 전투는 단순한 생존을 넘어 망자의 안식과도 연결될 수 있다."
31,전장·시체밭의 테마,"전쟁 망령|되살아난 병사|무기 잔영|시체 수집자","오래된 폭력과 전쟁의 흔적이 되살아나는 조우다. 부서진 무기, 깃발, 갑옷, 시체가 전장을 채우며, 과거의 전투가 현재를 반복하는 듯한 분위기를 만든다. 적들은 생전의 명령이나 원한에 묶여 움직인다."
32,기계·장치의 테마,"자동 인형|기계 골렘|톱니 수호자|함정 조작체","움직이는 장치와 자동 방어 체계가 중심인 조우다. 전장 자체가 톱니와 레일, 압력판, 회전 장치처럼 작동한다. 적들은 감정 없는 규칙성과 반복 패턴을 보이며, 그 구조를 파악하면 전투를 유리하게 풀 수 있다."
33,거울·반사의 테마,"거울 분신|반사 망령|거울 속 괴물|허상 암살자","반사와 허상이 현실을 어지럽히는 조우다. 적의 위치가 거울 속과 현실에서 다르게 보이고, 공격해야 할 대상이 여러 개로 늘어난다. 전투는 시각 정보의 신뢰성을 의심하게 만드는 방향으로 전개된다."
34,침묵의 테마,"침묵 망령|무성 암살자|소리먹는 괴물|입 없는 사제","소리가 사라지거나 흡수되는 조우다. 명령, 주문, 발소리, 비명조차 제대로 전달되지 않아 협동이 어려워진다. 적들은 이 침묵에 익숙하며, 의사소통이 끊긴 파티를 하나씩 고립시키려 한다."
35,소리·비명의 테마,"음파 괴물|종소리 망령|비명 밴시|공명 벌레","소리가 물리적인 힘과 공포로 작용하는 조우다. 종소리, 비명, 울림, 공명이 전장을 흔들고 방향 감각을 무너뜨린다. 적들은 소리를 공격 수단이나 위치 교란 수단으로 사용하며, 침묵과 차단이 중요한 대응책이 된다."
36,꿈·악몽의 테마,"꿈 포식자|악몽 사슴|잠든 망령|기억 도둑","꿈과 현실이 겹쳐지는 조우다. 전장에는 참가자의 기억과 공포가 투영되고, 적은 악몽의 형상을 빌려 나타난다. 물리적 피해와 정신적 압박이 함께 작용하며, 쓰러뜨린 적이 정말 사라졌는지도 확신하기 어렵다."
37,별빛·공허의 테마,"별빛 괴물|공허 유영체|무중력 망령|별가루 포식자","공허와 비현실적 공간감이 중심인 조우다. 거리와 깊이가 직관적으로 느껴지지 않고, 위아래의 감각이 흐려진다. 적들은 공허 속을 헤엄치듯 움직이며, 전투는 룩스테라 바깥의 무언가를 엿본 듯한 불안을 준다."
38,벌레·군집의 테마,"거대 딱정벌레|잔향 벌떼|기생충 무리|껍질 괴물","수많은 작은 생명체와 갑각, 기생이 중심인 조우다. 적은 한두 마리보다 군집으로 압박하며, 시체나 장비 안으로 파고들 수 있다. 수적 우위와 혐오감, 몸 안쪽을 위협받는 감각이 강하게 작용한다."
39,용암·화산의 테마,"용암 골렘|화산 도마뱀|잿불 정령|마그마 벌레","극단적인 고열과 붕괴하는 암반이 중심인 조우다. 바닥은 안전하지 않고, 뜨거운 균열과 분출물이 계속 전장을 바꾼다. 적들은 열과 불안정한 지형에 적응해 있으며, 오래 머무를수록 피해가 누적된다."
40,성역 오염의 테마,"오염된 수호자|빛바랜 기사|타락 성물|검은 성가대","원래 신성하거나 안전했어야 할 장소가 침식된 조우다. 빛과 어둠이 어색하게 뒤섞이고, 정화의 상징이 오히려 공포의 매개로 변해 있다. 적들은 타락한 수호자나 성물의 형태로 나타나며, 전투에는 모독과 회복의 감각이 함께 담긴다."
41,시간 왜곡의 테마,"시간 잔영|낡은 미래병|반복 망령|시간 균열체","시간이 정상적으로 흐르지 않는 조우다. 같은 장면이 반복되거나, 이미 일어난 상처가 나중에 생기고, 과거의 잔상이 전투에 끼어든다. 적들은 시간의 어긋남을 이용하며, 전투는 원인과 결과의 순서를 의심하게 만든다."
42,중력 왜곡의 테마,"부유 수호자|중력 괴물|낙하 유도체|천장 거미","중력의 방향과 강도가 뒤틀리는 조우다. 바닥이 벽이 되고, 천장이 길이 되며, 무거운 물체가 떠오르거나 갑자기 추락한다. 적들은 이 비정상적인 환경에 적응해 있으며, 위치 선정과 낙하 위험이 전투의 핵심이 된다."
43,유리·수정의 테마,"수정 맹수|유리 망령|굴절 사냥꾼|파편 골렘","투명한 표면과 날카로운 파편, 빛의 굴절이 중심인 조우다. 적은 보이는 것보다 가까이 있거나 멀리 있을 수 있고, 깨진 지형이 곧 무기가 된다. 전투는 아름답지만 위험한 광택 속에서 벌어진다."
44,금속·강철의 테마,"강철 골렘|녹슨 기사|자력 벌레|철갑 마수","금속성과 장갑, 자력과 녹이 중심인 조우다. 적은 높은 방어력이나 기계적인 움직임을 보이며, 금속 장비가 전투 변수로 작용할 수 있다. 전장은 단단하고 차갑지만, 녹과 마찰음이 불길한 생동감을 만든다."
45,뼈·해골의 테마,"뼈 골렘|해골 무리|갈비뼈 괴물|뼈 수집자","뼈가 단순한 잔해가 아니라 재료처럼 재조립되는 조우다. 쓰러진 적의 뼈가 다른 형태로 합쳐지거나, 전장의 뼈무더기가 새로운 적으로 일어설 수 있다. 죽은 것들이 형태를 바꾸며 다시 움직이는 공포가 핵심이다."
46,거미줄·포획의 테마,"거대 거미|실 뽑는 변이체|포획 사냥꾼|거미 인간","구속과 포획, 천장 기습이 중심인 조우다. 전장 곳곳에 끈끈한 실이 걸려 있고, 이동할수록 더 얽힐 수 있다. 적들은 즉시 죽이기보다 붙잡고 끌고 가려 하며, 구조와 탈출이 전투의 일부가 된다."
47,굶주림의 테마,"굶주린 포식귀|생명 흡수자|야윈 마수|시체 뜯는 늑대","결핍과 포식 본능이 중심인 조우다. 적들은 배고픔을 채우기 위해 움직이며, 살아 있는 대상을 먹이나 열량으로 본다. 주변 환경도 메마르고 황폐해, 전투 자체가 생존 경쟁처럼 느껴진다."
48,인형·꼭두각시의 테마,"꼭두각시 병사|자동 인형|줄에 매인 시체|인형술사","조종과 가짜 생명, 희생이 중심인 조우다. 적들은 살아 있는 것처럼 움직이지만 의지가 없거나, 누군가의 조종을 받고 있다. 전투의 핵심은 앞에 있는 적을 부수는 것뿐 아니라, 진짜 조종자를 찾아내는 데 있다."
49,가면·정체 은폐의 테마,"가면 침투자|변장 암살자|웃는 가면 신도|얼굴 없는 첩자","정체를 숨긴 적과 마주하는 조우다. 전투가 시작되기 전까지 누가 적인지 알 수 없고, 싸움이 끝난 뒤에도 진짜 배후가 남을 수 있다. 가면과 변장, 거짓 신분이 신뢰를 흔든다."
50,제단·의식의 테마,"의식 집행자|소환 잔향체|제단 수호자|흑마석 광신도","전투와 의식 중단이 동시에 요구되는 조우다. 적들은 시간을 벌거나 제물을 지키고, 전장은 의식의 진행에 따라 점점 위험해진다. 단순히 적을 모두 쓰러뜨리는 것보다, 무엇을 먼저 끊어야 하는지가 중요하다."
51,룬·각인의 테마,"룬 강화병|각인 침식자|룬 수호체|잔향 문양괴물","잔향의 룬이 전투 규칙을 바꾸는 조우다. 특정 위치, 시간, 피, 소리, 빛에 반응해 룬이 발현되며 적을 강화하거나 공간을 변화시킨다. 룬은 배경이 아니라 전투의 조건이 된다."
52,준던전화의 테마,"준던전화 괴물|방황하는 벽|공간 침식자|가짜 가디언","아직 완전한 던전은 아니지만 공간이 던전화로 굳어가는 조우다. 방과 통로가 반복되거나, 벽이 호흡하듯 움직이고, 내부가 외부와 맞지 않는다. 전투는 적뿐 아니라 완성되어 가는 장소 자체와의 싸움이 된다."
53,감염·역병의 테마,"감염 매개체|역병 시체|열병 쥐떼|오염 의사","질병과 잔향 침식이 겹친 조우다. 적을 처치하는 것만으로는 문제가 끝나지 않고, 감염 확산과 격리 실패가 더 큰 위협이 된다. 전투는 신속한 판단과 피해 통제, 접촉 관리가 중요하다."
54,안개 추적자의 테마,"안개 사냥꾼|은신 마수|냄새 추적자|흐릿한 궁수","안개 속에서 보이지 않는 존재에게 추적당하는 조우다. 적은 정면으로 모습을 드러내지 않고, 흔적과 압박만 남기며 거리를 좁힌다. 파티는 싸움을 시작하기 전부터 이미 사냥감이 되어 있을 수 있다."
55,사냥꾼·추적자의 테마,"정예 추적자|현상금 사냥꾼|지능형 마수|의회 집행자","파티가 추적하는 쪽이 아니라 추적당하는 쪽이 되는 조우다. 적은 함정, 흔적 조작, 고립 유도, 역습을 사용한다. 전투는 누가 먼저 상대의 위치와 의도를 읽는지에 따라 크게 달라진다."
56,수호자·문지기의 테마,"봉인 문지기|하위 가디언|문장 수호체|고대 파수꾼","문이나 봉인, 핵심 구역을 지키는 존재와의 조우다. 적은 도망치거나 사냥하지 않고, 특정 위치를 지키는 명확한 목적을 가진다. 돌파, 해제 조건, 우회로 탐색이 전투의 일부가 된다."
57,도플갱어·모방의 테마,"도플갱어|모방 슬라임|가짜 동료|목소리 도둑","아군의 모습과 목소리, 행동을 따라 하는 조우다. 적은 혼란과 불신을 일으키며, 잘못된 판단을 유도한다. 전투는 적을 공격하는 것보다 진짜와 가짜를 식별하는 과정에서 긴장감이 생긴다."
58,사슬·구속의 테마,"사슬 간수|구속 망령|쇠사슬 괴물|감옥 수호자","구속과 포박, 인질과 감금이 중심인 조우다. 적은 이동을 제한하고, 전장을 작은 구역으로 나누며, 붙잡힌 대상을 방패나 제물처럼 사용한다. 빠른 처치보다 탈출과 구조 판단이 중요하다."
59,잔향 폭주의 테마,"폭주 침식자|불안정 핵 파편체|잔향 괴수|검은 광기 변이체","잔향 농도가 비정상적으로 치솟아 전장 전체가 살아 있는 오염원처럼 변하는 조우다. 감각은 과잉되고, 감정은 쉽게 폭발하며, 적과 지형 모두 예측하기 어렵다. 전투는 짧고 격렬하지만, 끝난 뒤에도 후유증이 남을 수 있다."
60,안개와 빛의 경계 테마,"빛 저항 마수|안개 적응자|변이 수호자|흑안개 기사","위그드라실의 빛과 앙그라의 안개가 맞닿는 조우다. 한쪽에는 희미한 빛이 남아 있고, 다른 한쪽에는 침식이 밀려온다. 적들은 빛에 저항하거나 안개에 적응해 있으며, 문명과 바깥 세계의 경계가 전투의 의미를 선명하게 만든다."
