주사위,의뢰 유형 (자유 탐사 연맹 오리진 공고)
1,"구조·구호 – 던전 발생으로 고립된 민간인을 구조하되, 생존자의 증언에서 잔향 침식 징후를 확인한다."
2,"소문·괴담 검증 – 반복되는 악몽과 환청을 조사하되, 단순 괴담이 아니라 살아있는 던전의 전조일 가능성을 검토한다."
3,"탐사대 구조 – 연락이 끊긴 조사대를 추적하되, 마지막 관측 기록이 의도적으로 훼손된 정황을 확인한다."
4,"던전 발생 대응 – 새로 열린 던전의 입구와 내부 구조를 조사하되, 인근 세력이 위험도를 축소 보고하고 있다."
5,"던전 완전 제압 – 던전 가디언을 격파하고 부정한 핵을 회수하되, 다른 모험가 길드와 공략 우선권을 조율한다."
6,"통제 던전 감사 – 사업화된 던전의 안전 상태를 점검하되, 운영 세력이 잔향 침식 피해를 은폐하고 있다."
7,"살아있는 던전 추적 – 이동하는 던전 근원을 추적하되, 그 경로를 이용하려는 상단 세력과 충돌한다."
8,"잔향 농도 측정 – 안개가 걷힌 마을의 잔향 농도를 측정하되, 주민들은 이미 안전 판정을 받았다고 주장한다."
9,"잔향 침식자 관찰 – 1~2단계 침식자를 관찰하되, 당사자가 잔향으로 얻은 힘을 포기하지 않으려 한다."
10,"검은 광기 조사 – 집단 환청과 숭배 행위를 조사하되, 사건의 중심에 부정한 핵 파편이 놓여 있다."
11,"진보 개체 추적 – 3단계 침식 후에도 자아를 유지한 인물을 추적하되, 에리디안 경비대는 즉시 격리를 주장한다."
12,"룬 기록·판독 – 폐허에서 발견된 잔향의 룬을 기록하되, 문양이 일정 주기로 다시 선명해지는 현상을 확인한다."
13,"룬 격리 – 룬이 새겨진 장비를 격리하되, 사용자가 그것을 자신의 가호라고 주장하며 반환을 요구한다."
14,"룬 재현성 검증 – 룬이 남은 방의 반복 발현 조건을 조사하되, 내부 구조가 던전과 유사하게 변하고 있다."
15,"개체형 룬 관찰 – 침식자의 피부에 고정된 룬을 관찰하되, 룬이 전투 중 잔향 반응을 증폭시키는지 검증한다."
16,"룬 악용 차단 – 잔향의 룬을 이용한 금기 실험을 차단하되, 배후 조직의 정체는 아직 공식 확인되지 않았다."
17,"흑마석 광맥 조사 – 던전 인근 광맥을 탐사하되, 상단이 이미 채굴권을 주장하며 연맹 조사를 방해한다."
18,"정제 안정성 검증 – 정제된 흑마석 장비의 부작용을 확인하되, 제작자는 기록 공개를 거부한다."
19,"정제사 현장 동행 – 불안정한 핵을 안정화할 정제사를 호위하되, 현장에서 룬성 잔향 반응이 발생한다."
20,"위험 운송 – 부정한 핵과 오염 시료를 오리진으로 운송하되, 운송 도중 대상의 성질이 변하기 시작한다."
21,"기록 회수 – 전멸한 탐사대의 기록 장치를 회수하되, 장치 안의 일부 기록이 의도적으로 변조되어 있다."
22,"지도·안전로 갱신 – 오리진 인근 안전로를 재측량하되, 기존 표식이 모두 같은 방향으로 뒤틀려 있다."
23,"보고서 재검증 – 하급 던전 판정을 받은 장소를 재조사하되, 실제 위험도는 중급 이상으로 의심된다."
24,"탐사 시험 – 신입 모험가의 탐사 능력을 검증하되, 시험 구역에서 예상 밖의 잔향 반응이 확인된다."
25,"관측 시설 방어 – 안개 관측탑의 측정이 끝날 때까지 방어하되, 외부에서 변이 생물이 몰려든다."
26,"봉인·정화 보조 – 잔향이 새는 균열을 봉인하되, 정화 과정에서 룬이 더 깊은 층에 남아 있음을 확인한다."
27,"포탈·공간 왜곡 조사 – 포탈 공명 현상을 조사하되, 연결된 목적지가 미확인 던전 내부로 추정된다."
28,"금기 정제·금지 지식 차단 – 부정한 핵을 성장시키는 정제법을 회수하되, 이미 사본이 유통된 정황이 있다."
29,"중립 회수 – 세력 분쟁 중인 유물을 확보하되, 해당 유물이 던전 발생 조건과 관련되어 있다."
30,"분쟁지 미지 관측 – 국경 충돌 지역의 이상 현상을 관측하되, 양측 군대 모두 연맹의 중립성을 의심한다."
31,"미지 사안 재분류 – 평범한 실종 사건을 재조사하되, 살아있는 던전의 이동 경로와 일치하는 단서가 발견된다."
32,"앙그라 경계 관측 – 문명권 외곽의 안개 경계선을 관측하되, 기존 안전로가 안쪽부터 침식되고 있다."
33,"앙그라의 못 탐색 – 안개를 고정하는 토템의 위치를 추적하되, 주변 지형이 반복적으로 왜곡된다."
34,"토템 가디언 제압 – 앙그라의 못을 수호하는 가디언을 제압하되, 파괴 이후 안개 소산 여부를 현장에서 검증해야 한다."
35,"안개권 지도 작성 – 안개권 외곽의 지형을 지도화하되, 탐사대 일부가 같은 길을 반복해서 걷는 현상을 겪는다."
36,"안개권 생태·변이 조사 – 안개 내부의 변이 생태를 조사하되, 일부 개체가 빛에 저항하는 반응을 보인다."
37,"안개권 거점 후보 조사 – 못 파괴 이후 안정된 지역을 조사하되, 장기 거점으로 삼기에는 잔향 잔류가 의심된다."
38,"안개권 장기 원정 – 복수의 목표를 수행하는 대규모 탐사대를 편성하되, 귀환로 확보가 가장 큰 난제로 남는다."
39,"안개권 회수·귀환 – 실종된 원정대의 관측 장비를 회수하되, 장비가 아직 안개 내부에서 신호를 보내고 있다."
40,"흑암 교단 흔적 조사 – 폐허에서 미확인 결사의 표식을 조사하되, 주변 주민들은 같은 문장을 반복해 증언한다."
41,"침투자 식별 – 오리진 내부에 숨어든 ‘얼굴’을 추적하되, 성급한 색출은 공동체의 불신을 키울 수 있다."
42,"공포 확산 차단 – 거짓 소문과 불신의 확산을 막되, 소문의 발원지가 여러 곳으로 조작되어 있다."
43,"금기 의식 저지 – 잔향 오염 의식을 저지하되, 의식 재료로 정제 실패품과 흑마석 가루가 사용되고 있다."
44,"오염 성소 정화 – 지하 성소의 잔향을 정화하되, 성소의 문양이 잔향의 룬과 유사한 구조를 보인다."
45,"오염 기록 회수 – 왜곡된 탐사 보고서를 회수하되, 문서가 공포의 의회 교리문처럼 재편집되어 있다."
46,"포섭 피해자 구출 – 의회에 포섭된 피해자를 구조하되, 피해자는 자신이 구원받았다고 믿고 있다."
47,"공동체 회복 지원 – 의회 사건 이후 무너진 신뢰를 회복하되, 주민들은 서로를 침식자로 의심하고 있다."
48,"의회 공작망 추적 – 여러 사건의 배후 연결망을 추적하되, 물자 흐름과 소문 발생 지점이 같은 경로를 따른다."
49,"의회 내분 관측 – 공포의 의회 분파 간 충돌을 관측하되, 계시 해석의 차이가 새로운 오염 사건으로 번지고 있다."
50,"간부 룬 조성 차단 – 의회 간부가 잔향의 룬 배열을 완성하려 하되, 룬이 이미 도시 여러 지점에 배치되어 있다."
51,"준던전화 구역 봉쇄 – 룬으로 인해 특정 공간이 던전처럼 변하기 시작하되, 아직 완전한 던전 핵은 확인되지 않았다."
52,"룬 생성자 추적 – 동일한 룬을 남긴 의회 간부의 이동 경로를 추적하되, 다음 표적이 오리진 내부로 추정된다."
53,"기밀 첩보 확인 – 공포의 의회 관련 첩보를 검증하되, 공식 공고에는 잔향 사건으로 위장해 게시된다."
54,"복합 탐사 공고 – 던전, 잔향의 룬, 공포의 의회 흔적이 동시에 확인된 사건을 조사하되, 현장 위험도는 계속 재분류된다."